번호,정책번호,분류,정책명,내용길이,정책내용,요약,input,output
11,20251120005400211906,일자리,양산시 중소기업 신규 고용 청년 인건비 지원,244,제조업 중소기업이 청년 채용 시 1인당 450만원 지원,양산시 제조업체 청년 신규 채용 시 기업에 인건비 지원,"정책명: 양산시 중소기업 신규 고용 청년 인건비 지원
내용: 제조업 중소기업이 청년 채용 시 1인당 450만원 지원",양산시 제조업체 청년 신규 채용 시 기업에 인건비 지원
12,20240528005400200003,일자리,하계 대학생 아르바이트 모집 공고(동두천시),556,"시청 및 공공기관 행정 업무 보조, 약 151만원 지급",방학 기간 대학생들에게 공공기관 업무 경험 및 임금 제공,"정책명: 하계 대학생 아르바이트 모집 공고(동두천시)
내용: 시청 및 공공기관 행정 업무 보조, 약 151만원 지급",방학 기간 대학생들에게 공공기관 업무 경험 및 임금 제공
13,20240422005400200004,일자리,청도군 중소기업 정규직 프로젝트,328,인턴 고용지원금(기업) 및 근속장려금(근로자) 각 300만원 지원,청도군 중소기업 인턴십 및 정규직 전환 시 총 600만원 지원,"정책명: 청도군 중소기업 정규직 프로젝트
내용: 인턴 고용지원금(기업) 및 근속장려금(근로자) 각 300만원 지원",청도군 중소기업 인턴십 및 정규직 전환 시 총 600만원 지원
14,20240125005400100001,일자리,2024년 청년예술인 대관지원사업,293,공연 및 전시를 위한 대관 시설 및 기간 지원,청년 예술가들의 창작 활동을 위한 공연·전시 공간 대관 지원,"정책명: 2024년 청년예술인 대관지원사업
내용: 공연 및 전시를 위한 대관 시설 및 기간 지원",청년 예술가들의 창작 활동을 위한 공연·전시 공간 대관 지원
15,20240620005400200001,일자리,청년성장프로젝트,186,청년카페(맞춤형 프로그램) 및 직장적응 지원 서비스,미취업 청년의 구직 의욕 고취 및 신입사원의 직장 적응 지원,"정책명: 청년성장프로젝트
내용: 청년카페(맞춤형 프로그램) 및 직장적응 지원 서비스",미취업 청년의 구직 의욕 고취 및 신입사원의 직장 적응 지원
16,20240424005400200032,주거,김해시 신혼 첫 주택 리모델링 지원사업,499,"리모델링 공사비의 50%, 최대 500만원 지원",김해시 신혼부부의 첫 주택 리모델링 비용 일부 지원,"정책명: 김해시 신혼 첫 주택 리모델링 지원사업
내용: 리모델링 공사비의 50%, 최대 500만원 지원",김해시 신혼부부의 첫 주택 리모델링 비용 일부 지원
17,20240701005400200007,주거,울산 중구 신혼부부 주택 전세자금 대출이자 지원,293,"전세자금 대출잔액의 1.5%, 연 최대 100만원 지원",울산 중구 거주 무주택 신혼부부의 전세 대출 이자 지원,"정책명: 울산 중구 신혼부부 주택 전세자금 대출이자 지원
내용: 전세자금 대출잔액의 1.5%, 연 최대 100만원 지원",울산 중구 거주 무주택 신혼부부의 전세 대출 이자 지원
18,20241111005400100002,주거,LH 인천 남부권 신혼·신생아 매입임대주택Ⅱ,270,시세 70~80% 수준의 임대보증금 및 임대료로 주택 공급,인천 지역 신혼·신생아 가구 대상 저렴한 매입임대주택 공급,"정책명: LH 인천 남부권 신혼·신생아 매입임대주택Ⅱ
내용: 시세 70~80% 수준의 임대보증금 및 임대료로 주택 공급",인천 지역 신혼·신생아 가구 대상 저렴한 매입임대주택 공급
19,20240219005400200017,주거,(미추홀구) 인천시 청년월세 지원사업,272,"월 최대 20만원, 최장 12개월간 월세 지원",인천 미추홀구 청년들의 주거비 부담 경감을 위한 월세 지원,"정책명: (미추홀구) 인천시 청년월세 지원사업
내용: 월 최대 20만원, 최장 12개월간 월세 지원",인천 미추홀구 청년들의 주거비 부담 경감을 위한 월세 지원
20,20240320005400200003,주거,청년 임차보증금 이자지원,411,보증금 최대 2억원 한도 내 대출금리 연 2% 이자 지원,서울시 거주 청년 대상 전월세 보증금 대출 및 이자 지원,"정책명: 청년 임차보증금 이자지원
내용: 보증금 최대 2억원 한도 내 대출금리 연 2% 이자 지원",서울시 거주 청년 대상 전월세 보증금 대출 및 이자 지원
21,20250714005400111209,주거,상안지구 행복주택 건립,253,"신혼부부, 청년 등 대상 행복주택 102세대 공급 사업",울산 북구 지역에 신혼부부 및 청년용 행복주택 건설 추진,"정책명: 상안지구 행복주택 건립
내용: 신혼부부, 청년 등 대상 행복주택 102세대 공급 사업",울산 북구 지역에 신혼부부 및 청년용 행복주택 건설 추진
22,20240510005400200011,주거,휘경마을 두레주택 추가입주자 모집(동대문구),316,"주방, 거실 등을 공유하는 셰어하우스형 임대주택 공급",동대문구 휘경동 지역의 공동체형 공공 임대주택 입주 지원,"정책명: 휘경마을 두레주택 추가입주자 모집(동대문구)
내용: 주방, 거실 등을 공유하는 셰어하우스형 임대주택 공급",동대문구 휘경동 지역의 공동체형 공공 임대주택 입주 지원
23,20240813005400200002,주거,청년 부동산 중개보수 및 이사비 지원사업,200,중개수수료 및 이사 비용 등 최대 40만원 실비 지원,이사가 잦은 청년들을 위한 중개보수 및 이사 실비 지원,"정책명: 청년 부동산 중개보수 및 이사비 지원사업
내용: 중개수수료 및 이사 비용 등 최대 40만원 실비 지원",이사가 잦은 청년들을 위한 중개보수 및 이사 실비 지원
24,20250220005400210504,주거,청년월세한시특별지원,220,"무주택 청년 대상 월 최대 20만원, 최대 24개월 지원",저소득 독립 거주 청년에게 한시적으로 월세를 지원하는 국비 사업,"정책명: 청년월세한시특별지원
내용: 무주택 청년 대상 월 최대 20만원, 최대 24개월 지원",저소득 독립 거주 청년에게 한시적으로 월세를 지원하는 국비 사업
25,20240311005400200002,주거,여성임대아파트(다솜마을) 입주 희망자 모집,209,성남시 내 여성 노동자 전용 임대아파트 입주 지원,성남시 거주 미혼 여성 근로자를 위한 저렴한 임대 주택 제공,"정책명: 여성임대아파트(다솜마을) 입주 희망자 모집
내용: 성남시 내 여성 노동자 전용 임대아파트 입주 지원",성남시 거주 미혼 여성 근로자를 위한 저렴한 임대 주택 제공
26,20240418005400200029,"일자리, 교육",비정규학교 운영 및 학력 보완 교육 확대,212,평생교육시설 학생 대상 교육비 및 검정고시비 지원,학력 미취득자 및 장애인 야간학교 등의 교육 활동 지원,"정책명: 비정규학교 운영 및 학력 보완 교육 확대
내용: 평생교육시설 학생 대상 교육비 및 검정고시비 지원",학력 미취득자 및 장애인 야간학교 등의 교육 활동 지원
27,20240405005400200004,교육,평택시 경기청년 사다리 프로그램,176,뉴질랜드 오클랜드 대학 해외 연수 및 프로그램 운영비 지원,평택 청년들에게 해외 대학 연수 기회 및 제반 비용 지원,"정책명: 평택시 경기청년 사다리 프로그램
내용: 뉴질랜드 오클랜드 대학 해외 연수 및 프로그램 운영비 지원",평택 청년들에게 해외 대학 연수 기회 및 제반 비용 지원
28,20250715005400211246,교육,대학생 중소기업 인턴십 지원,238,유망 중소기업 인턴 파견 및 활동비 300만원 지원,울산 지역 대학생 대상 수출 중소기업 인턴십 경험 제공,"정책명: 대학생 중소기업 인턴십 지원
내용: 유망 중소기업 인턴 파견 및 활동비 300만원 지원",울산 지역 대학생 대상 수출 중소기업 인턴십 경험 제공
29,20240625005400200019,"일자리, 복지",부산형 긴급복지지원,190,위기 상황 발생 시 생계비 등 긴급 지원 (1인 71만 원 등),부산 지역 위기 가구 대상 신속한 생계비 및 복지 서비스 지원,"정책명: 부산형 긴급복지지원
내용: 위기 상황 발생 시 생계비 등 긴급 지원 (1인 71만 원 등)",부산 지역 위기 가구 대상 신속한 생계비 및 복지 서비스 지원
30,20241002005400200006,"일자리, 교육",성남시 2학기 다자녀가구 대학생 등록금 지원,292,셋째 이상 대학생 대상 본인부담 등록금 최대 100만원 지원,(8번 항목과 동일) 다자녀 가구 대학생 등록금 실비 지원,"정책명: 성남시 2학기 다자녀가구 대학생 등록금 지원
내용: 셋째 이상 대학생 대상 본인부담 등록금 최대 100만원 지원",(8번 항목과 동일) 다자녀 가구 대학생 등록금 실비 지원
31,20250718005400211376,"일자리, 교육",대학 핵심역량 강화 지원사업,196,"제주 지역 대학생 대상 인턴십, 현장실습 등 실무 프로그램 지원",제주도 내 대학생들의 취업 역량 강화를 위한 산학 연계 프로그램,"정책명: 대학 핵심역량 강화 지원사업
내용: 제주 지역 대학생 대상 인턴십, 현장실습 등 실무 프로그램 지원",제주도 내 대학생들의 취업 역량 강화를 위한 산학 연계 프로그램
32,20240325005400200011,교육,청년 멘토링 지원 사업 멘티 모집(과천시),256,"진로, 역량, 상담 등 분야별 전문가 멘토링 최대 5회 지원",과천시 청년들의 고민 해결과 역량 강화를 위한 맞춤형 멘토링,"정책명: 청년 멘토링 지원 사업 멘티 모집(과천시)
내용: 진로, 역량, 상담 등 분야별 전문가 멘토링 최대 5회 지원",과천시 청년들의 고민 해결과 역량 강화를 위한 맞춤형 멘토링
33,20250710005400211177,교육,평생교육이용권 지원,312,수강료 및 교재비로 사용 가능한 35만원 상당 이용권 지급,교육 소외계층 대상 평생교육 강좌 수강용 바우처 지원,"정책명: 평생교육이용권 지원
내용: 수강료 및 교재비로 사용 가능한 35만원 상당 이용권 지급",교육 소외계층 대상 평생교육 강좌 수강용 바우처 지원
34,20250220005400210487,교육,청년 학자금 대출 부실채무자 신용회복 지원,169,한국장학재단 분할상환 약정 체결을 위한 초입금 지원,학자금 대출 연체 청년의 신용 회복을 위한 첫 상환금 지원,"정책명: 청년 학자금 대출 부실채무자 신용회복 지원
내용: 한국장학재단 분할상환 약정 체결을 위한 초입금 지원",학자금 대출 연체 청년의 신용 회복을 위한 첫 상환금 지원
35,20250621005400111097,"일자리, 교육",청년창업농장학금지원,166,등록금 전액 및 학업장려금 250만원 지원 (의무 종사 조건),농업 분야 취·창업 희망 대학생에게 전액 장학금 및 장려금 지원,"정책명: 청년창업농장학금지원
내용: 등록금 전액 및 학업장려금 250만원 지원 (의무 종사 조건)",농업 분야 취·창업 희망 대학생에게 전액 장학금 및 장려금 지원
36,20241031005400200005,복지문화,서울청년센터 강서 <치아미백 무료 지원>,184,"검진, 스케일링, 미백치료 등 50만원 상당 시술 지원",강서구 청년 대상 전문 치과 의료 서비스 무료 제공,"정책명: 서울청년센터 강서 <치아미백 무료 지원>
내용: 검진, 스케일링, 미백치료 등 50만원 상당 시술 지원",강서구 청년 대상 전문 치과 의료 서비스 무료 제공
37,20250909005400211681,복지문화,보호종료아동 자립수당 및 자립정착금 지원,284,"자립수당(월 50만원/5년), 자립정착금(1천만원) 지원",자립준비청년의 안정적 사회 정착을 위한 수당 및 정착금 지원,"정책명: 보호종료아동 자립수당 및 자립정착금 지원
내용: 자립수당(월 50만원/5년), 자립정착금(1천만원) 지원",자립준비청년의 안정적 사회 정착을 위한 수당 및 정착금 지원
38,20241022005400200013,복지문화,청년 대상 인지정서행동치료 프로그램,229,정신건강 증진을 위한 5주 과정 인지치료 프로그램 무료 제공,부천시 청년들의 심리 건강을 위한 전문 치료 프로그램 운영,"정책명: 청년 대상 인지정서행동치료 프로그램
내용: 정신건강 증진을 위한 5주 과정 인지치료 프로그램 무료 제공",부천시 청년들의 심리 건강을 위한 전문 치료 프로그램 운영
39,20250115005400210268,복지문화,영암군 결혼장려금 지원,305,부부당 최대 500만원 장려금 분할 지원,영암군 거주 청년 부부의 정착을 돕는 결혼 축하 장려금 지원,"정책명: 영암군 결혼장려금 지원
내용: 부부당 최대 500만원 장려금 분할 지원",영암군 거주 청년 부부의 정착을 돕는 결혼 축하 장려금 지원
40,20240715005400200021,복지문화,경남 고립·운둔 청년의 경험 인터뷰 참여자 모집,185,고립·은둔 청년 실태 파악을 위한 개별 인터뷰 및 수당 지급,경남 지역 고립 청년 정책 수립을 위한 당사자 목소리 청취,"정책명: 경남 고립·운둔 청년의 경험 인터뷰 참여자 모집
내용: 고립·은둔 청년 실태 파악을 위한 개별 인터뷰 및 수당 지급",경남 지역 고립 청년 정책 수립을 위한 당사자 목소리 청취
41,20240715005400200017,"일자리, 복지",청년 자기개발 도서구입비 지원,285,도서 구입비의 80%(최대 10만원) 환급 지원,청년들의 학습과 성장을 돕기 위한 도서 구매 비용 일부 지원,"정책명: 청년 자기개발 도서구입비 지원
내용: 도서 구입비의 80%(최대 10만원) 환급 지원",청년들의 학습과 성장을 돕기 위한 도서 구매 비용 일부 지원
42,20240328005400200007,복지문화,청년기획단 모집,209,"페스티벌 프로그램 기획, 홍보 활동 참여",청년 주도의 문화 행사 기획 및 운영을 위한 활동가 모집,"정책명: 청년기획단 모집
내용: 페스티벌 프로그램 기획, 홍보 활동 참여",청년 주도의 문화 행사 기획 및 운영을 위한 활동가 모집
43,20240403005400200014,복지문화,4월 청년 마인드 톡톡 캠페인 (용인시),219,정신건강 검진 및 1:1 상담 서비스 제공,용인시 청년들의 마음 건강 확인 및 예방 상담 캠페인,"정책명: 4월 청년 마인드 톡톡 캠페인 (용인시)
내용: 정신건강 검진 및 1:1 상담 서비스 제공",용인시 청년들의 마음 건강 확인 및 예방 상담 캠페인
44,20250219005400210470,복지문화,일상돌봄 서비스 지원,275,"가사 지원, 병원 동행, 식사 관리 등 맞춤형 돌봄 서비스",돌봄이 필요한 청년 및 가족돌봄청년에게 일상 생활 지원 제공,"정책명: 일상돌봄 서비스 지원
내용: 가사 지원, 병원 동행, 식사 관리 등 맞춤형 돌봄 서비스",돌봄이 필요한 청년 및 가족돌봄청년에게 일상 생활 지원 제공
45,20250220005400210476,복지문화,인구감소지역 결혼지원금,193,인구감소지역 거주 초혼 부부에게 100만원 지급,"충북도내 제천, 괴산 등 지정 지역 신혼부부 대상 결혼 지원","정책명: 인구감소지역 결혼지원금
내용: 인구감소지역 거주 초혼 부부에게 100만원 지급","충북도내 제천, 괴산 등 지정 지역 신혼부부 대상 결혼 지원"
46,20250904005400211635,복지문화,출생축하금,374,신생아 출생 시 세종시 거주 부모에게 120만원 지급,세종시 거주 가구의 출산을 축하하며 지원하는 일시금 형태 보조금,"정책명: 출생축하금
내용: 신생아 출생 시 세종시 거주 부모에게 120만원 지급",세종시 거주 가구의 출산을 축하하며 지원하는 일시금 형태 보조금
47,20250113005400210183,복지문화,청년예술인 창작공간 지원사업,190,합성동 지하상가 내 창작 공간 제공 및 관리비 지원,창원 지역 청년 예술가들에게 안정적인 작업 공간과 활동비 지원,"정책명: 청년예술인 창작공간 지원사업
내용: 합성동 지하상가 내 창작 공간 제공 및 관리비 지원",창원 지역 청년 예술가들에게 안정적인 작업 공간과 활동비 지원
48,20250220005400210494,복지문화,결혼비용 대출이자 지원사업,261,신용 및 주택자금 대출 이자 연 최대 50만원(2년) 지원,신혼부부의 경제적 부담 완화를 위한 대출 이자 실비 지원,"정책명: 결혼비용 대출이자 지원사업
내용: 신용 및 주택자금 대출 이자 연 최대 50만원(2년) 지원",신혼부부의 경제적 부담 완화를 위한 대출 이자 실비 지원
49,20240703005400200003,일자리,청년취업사관학교 강남캠퍼스,216,"AI, 모빌리티 등 SW 전문 교육 및 취업 밀착 지원",신기술 분야의 실무 교육과 기업 매칭 서비스를 통한 취업 지원,"정책명: 청년취업사관학교 강남캠퍼스
내용: AI, 모빌리티 등 SW 전문 교육 및 취업 밀착 지원",신기술 분야의 실무 교육과 기업 매칭 서비스를 통한 취업 지원
50,20240328005400200001,일자리,경남 청년성장프로젝트 청년카페,300,"상담, 직무탐색 프로그램 이수 시 참여 수당 16만원 지급",미취업 청년의 구직 의욕을 높이는 심리상담 및 역량강화 프로그램,"정책명: 경남 청년성장프로젝트 청년카페
내용: 상담, 직무탐색 프로그램 이수 시 참여 수당 16만원 지급",미취업 청년의 구직 의욕을 높이는 심리상담 및 역량강화 프로그램
51,20240417005400200011,일자리,청년취업 해Dream 사업,172,"직무훈련 교육, 기업연계 프로젝트, 1:1 컨설팅 및 버크만 진단",현직자 직무 교육 및 기업 연계 프로젝트를 통한 맞춤형 취업 컨설팅 지원,"정책명: 청년취업 해Dream 사업
내용: 직무훈련 교육, 기업연계 프로젝트, 1:1 컨설팅 및 버크만 진단",현직자 직무 교육 및 기업 연계 프로젝트를 통한 맞춤형 취업 컨설팅 지원
52,20240709005400200007,"일자리, 교육",달서청년 자격증 응시료 지원 사업,207,"어학, 한국사, 국가기술자격증 등 응시료 실비 지원 (최대 10만원)",대구 달서구 청년 대상 자격시험 응시료를 연 1회 최대 10만원 지원,"정책명: 달서청년 자격증 응시료 지원 사업
내용: 어학, 한국사, 국가기술자격증 등 응시료 실비 지원 (최대 10만원)",대구 달서구 청년 대상 자격시험 응시료를 연 1회 최대 10만원 지원
53,20240116005400200019,주거,경상남도 청년주택 임차보증금 이자 지원,197,임차보증금 융자 추천 및 대출금 이자 3% 지원 (최장 6년),경남 청년의 주거 안정을 위해 보증금 대출 추천 및 이자 3% 지원,"정책명: 경상남도 청년주택 임차보증금 이자 지원
내용: 임차보증금 융자 추천 및 대출금 이자 3% 지원 (최장 6년)",경남 청년의 주거 안정을 위해 보증금 대출 추천 및 이자 3% 지원
54,20240424005400200039,"일자리, 교육",청년수당 진로탐색지원형(대구),301,진로탐색 프로그램 수료 시 생애 1회 150만원(포인트) 지급,대구 청년의 진로 탐색을 돕는 프로그램 운영 및 활동수당 150만원 지급,"정책명: 청년수당 진로탐색지원형(대구)
내용: 진로탐색 프로그램 수료 시 생애 1회 150만원(포인트) 지급",대구 청년의 진로 탐색을 돕는 프로그램 운영 및 활동수당 150만원 지급
55,20241002005400200001,일자리,서울시 청년쿡 푸드테크 센터 기업 모집,188,"사업화자금 100만원, 멘토링, 오픈키친 및 입주 사무실 지원",외식 및 푸드테크 창업 기업 대상 인큐베이팅 및 공간 지원,"정책명: 서울시 청년쿡 푸드테크 센터 기업 모집
내용: 사업화자금 100만원, 멘토링, 오픈키친 및 입주 사무실 지원",외식 및 푸드테크 창업 기업 대상 인큐베이팅 및 공간 지원
56,20241021005400200024,복지문화,경북 칠곡군 테니스 건강증진 프로그램,439,테니스 강습료 무료 제공 (코트 사용료 4만원 본인 부담),칠곡군 청년 및 주민 대상 테니스 강습 제공으로 건강 증진 도모,"정책명: 경북 칠곡군 테니스 건강증진 프로그램
내용: 테니스 강습료 무료 제공 (코트 사용료 4만원 본인 부담)",칠곡군 청년 및 주민 대상 테니스 강습 제공으로 건강 증진 도모
57,20250122005400110348,일자리,청년성장프로젝트(청년카페),494,"1:1 상담, 맞춤형 프로그램(이미지메이킹, 멘토링 등) 무료 제공",청년 친화 공간에서 취업 전략 및 심리 상담 등 맞춤형 프로그램 지원,"정책명: 청년성장프로젝트(청년카페)
내용: 1:1 상담, 맞춤형 프로그램(이미지메이킹, 멘토링 등) 무료 제공",청년 친화 공간에서 취업 전략 및 심리 상담 등 맞춤형 프로그램 지원
58,20250515005400210830,교육,부산 학자금 대출이자 지원,256,한국장학재단 학자금 대출 발생 이자 1년분 지원 및 자동 상환,부산 지역 대학생 및 졸업생의 학자금 대출 이자 부담 경감 지원,"정책명: 부산 학자금 대출이자 지원
내용: 한국장학재단 학자금 대출 발생 이자 1년분 지원 및 자동 상환",부산 지역 대학생 및 졸업생의 학자금 대출 이자 부담 경감 지원
59,20241002005400200008,복지문화,과천시 반려동물 보험가입 지원 사업,188,"상해치료비 사고당 100만원, 배상책임 1,000만원 한도 지원",과천시민의 반려동물 사고 대비 상해 및 배상 책임 보험 혜택 제공,"정책명: 과천시 반려동물 보험가입 지원 사업
내용: 상해치료비 사고당 100만원, 배상책임 1,000만원 한도 지원",과천시민의 반려동물 사고 대비 상해 및 배상 책임 보험 혜택 제공
60,20250910005400211691,복지문화,일상돌봄서비스사업,685,"재가돌봄, 가사 지원, 식사/영양 관리, 병원 동행 등 서비스 제공",돌봄이 필요한 청년 및 가족돌봄청년에게 맞춤형 일상 서비스 지원,"정책명: 일상돌봄서비스사업
내용: 재가돌봄, 가사 지원, 식사/영양 관리, 병원 동행 등 서비스 제공",돌봄이 필요한 청년 및 가족돌봄청년에게 맞춤형 일상 서비스 지원
61,20250328005400210669,참여권리,서귀포시 청년정책협의체 운영,244,"청년 의견 수렴, 정책 발굴, 타 시도 네트워크 교류 활동 등",서귀포 청년들이 직접 정책을 제안하고 시정에 참여하는 협의체 운영,"정책명: 서귀포시 청년정책협의체 운영
내용: 청년 의견 수렴, 정책 발굴, 타 시도 네트워크 교류 활동 등",서귀포 청년들이 직접 정책을 제안하고 시정에 참여하는 협의체 운영
62,20250718005400211414,주거,검단신도시 워라밸빌리지 청년주거단지,349,공동주택 3천호 등 총 4.5천세대 공급 및 일자리 클러스터 조성,인천 검단 내 청년·신혼부부 특화 주거단지 및 여가 복지 시설 조성,"정책명: 검단신도시 워라밸빌리지 청년주거단지
내용: 공동주택 3천호 등 총 4.5천세대 공급 및 일자리 클러스터 조성",인천 검단 내 청년·신혼부부 특화 주거단지 및 여가 복지 시설 조성
63,20231102005400200007,일자리,2025년 강릉시 청년창업 희망키움 사업,210,"창업 사업화 자금 최대 1,600만원 지원 및 전문가 멘토링",강릉 청년 창업가에게 초기 사업비 지원 및 공유공간 제공,"정책명: 2025년 강릉시 청년창업 희망키움 사업
내용: 창업 사업화 자금 최대 1,600만원 지원 및 전문가 멘토링",강릉 청년 창업가에게 초기 사업비 지원 및 공유공간 제공
64,20240527005400200004,일자리,경기도 청년 복지포인트 1차 모집,202,중소기업 등 청년 노동자 대상 복지 포인트 연 120만원 지급,경기도 내 청년 노동자의 복지 향상을 위해 지정 몰 포인트 지원,"정책명: 경기도 청년 복지포인트 1차 모집
내용: 중소기업 등 청년 노동자 대상 복지 포인트 연 120만원 지급",경기도 내 청년 노동자의 복지 향상을 위해 지정 몰 포인트 지원
65,20240507005400200037,"일자리, 교육",청년성장프로젝트(영천시),182,구직 의욕 고취 맞춤형 프로그램 및 신입직원 직장적응 지원,영천 미취업 청년의 구직 지원 및 신입사원의 조직 적응 교육 제공,"정책명: 청년성장프로젝트(영천시)
내용: 구직 의욕 고취 맞춤형 프로그램 및 신입직원 직장적응 지원",영천 미취업 청년의 구직 지원 및 신입사원의 조직 적응 교육 제공
66,20240613005400200004,일자리,울산 지방공기업 청년고용의무제,151,지방공기업 정원 3% 이상 청년 미취업자 의무 고용 실시,울산 공공기관의 청년 고용을 확대하여 일자리 창출 견인,"정책명: 울산 지방공기업 청년고용의무제
내용: 지방공기업 정원 3% 이상 청년 미취업자 의무 고용 실시",울산 공공기관의 청년 고용을 확대하여 일자리 창출 견인
67,20250718005400211392,일자리,탐나는 디지털 창작소 운영사업,155,3D프린터 등 디지털 장비 교육 및 업사이클링 행사 운영,디지털 장비 활용 교육을 통해 청년들의 창업 역량 및 창작 활동 지원,"정책명: 탐나는 디지털 창작소 운영사업
내용: 3D프린터 등 디지털 장비 교육 및 업사이클링 행사 운영",디지털 장비 활용 교육을 통해 청년들의 창업 역량 및 창작 활동 지원
68,20240605005400200014,참여권리,창원시 청년 네트워크 위원 모집,331,"일자리, 문화, 주거, 참여 분야 정책 발굴 및 모니터링 활동",창원 청년들이 분과별 활동을 통해 실제 시책을 제안하는 참여 기구,"정책명: 창원시 청년 네트워크 위원 모집
내용: 일자리, 문화, 주거, 참여 분야 정책 발굴 및 모니터링 활동",창원 청년들이 분과별 활동을 통해 실제 시책을 제안하는 참여 기구
69,20240425005400200017,참여권리,거제시 청년축제추진기획단 공개 모집,353,"청년주간 행사 기획, 슬로건 및 프로그램 구성 논의 참여",거제 청년축제를 직접 기획하고 운영할 청년 중심 기획단 모집,"정책명: 거제시 청년축제추진기획단 공개 모집
내용: 청년주간 행사 기획, 슬로건 및 프로그램 구성 논의 참여",거제 청년축제를 직접 기획하고 운영할 청년 중심 기획단 모집
